paymode_name,transaction_date,success_transaction_count,total__transaction_count,success_ratio,response_ratio
UPI,2022-02-09,0.0,1.0,0.0,100.0
Net Banking,2022-02-08,3.0,3.0,100.0,100.0
UPI,2022-02-08,2.0,5.0,40.0,100.0
UPI,2022-02-07,0.0,3.0,0.0,100.0
UPI,2022-02-05,0.0,3.0,0.0,100.0
Net Banking,2022-02-05,2.0,2.0,100.0,100.0
UPI,2022-02-04,1.0,2.0,50.0,100.0
Net Banking,2022-02-03,1.0,1.0,100.0,100.0
Wallet,2022-02-03,0.0,1.0,0.0,100.0
UPI,2022-02-03,0.0,9.0,0.0,100.0
Wallet,2022-02-02,0.0,2.0,0.0,100.0
